ID,Timestamp,Tweet URL,Group,Category,Topic,Keywords,Account handle,Account name,Account type,Joined,Following,Followers,Tweet,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets
16-11,31/03/23 04:32:30,https://twitter.com/cinecinecine30/status/1557560649370112000,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@cinecinecine30,cinecinecine30,Anonymous,09/15,150,1615,mabuti nga para approved ang npa curriculum ng lumad schools.,"Text, Reply",11/08/22 10:52,https://drive.google.com/file/d/1vCMfvgSr8exuqBkYtjhm6t2yxZ3j4VwF/view?usp=sharing,Rational,4,0,0,0
16-12,31/03/23 07:28:55,https://twitter.com/brndngrn/status/1551744928690356224,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@brndngrn,вrndngrn #𝔖𝔬𝔠𝔦𝔞𝔩𝔇𝔦𝔰𝔱𝔞𝔫𝔠𝔦𝔫𝔤,Anonymous,09/10,1505,951,"Your ""lumad schools"" are actually NPA training ground. Thats why they were closed. NPA ka ba? Bat di mo alam yan? O alam mo pero ok lang sayo na tinitrain ang mga bata kumasa at maglinis ng baril?","Text, Reply",26/07/22 09:43,https://drive.google.com/file/d/16VD6HvzaCLWmiqjY5PNS16A-ZSffVXuO/view?usp=sharing,Emotional,0,1,0,0
16-13,03/04/23 11:06:42,https://twitter.com/tedaks/status/1048405533382696960 ,16,REDT,Red-tagging of Lumads/Lumad schools,"salugpongan, npa",@tedaks,tedaks,Identified,02/08,230,750,"Warning: LONG READ

TAKTIKANG BAKWIT AND THE LUMAD EXPLOITATION OF THE CPP NPA NDF

Here is an example of how the left do their propaganda.

Context: These supposed lumad schools (Salugpongan, MISFI, CLANS etc.)... https://facebook.com/rangercabols/posts/1987788111243992","Text, URL",06/10/18 10:52,https://drive.google.com/file/d/1aIqgFba4YTT1-aOOsz3P-9-2KakVUBXH/view?usp=share_link ,Rational,0,0,0,0
16-14,31/03/23 15:42:02,https://twitter.com/UnitedPhilippi1/status/1211014825557532674,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, terrorist, npa",@UnitedPhilippi1,UnitedPhilippines,Anonymous,09/19,426,271,@savelumadschool  is an NPA front organization. These terrorist are using these account to attrack the youths to join the NPA. If you really care for the Lumad people then stop circulating lies. Your NPA comrades will all soon gonna be destroyed.,"Text, Reply",29/12/19 04:03,https://drive.google.com/file/d/1mgMiLU0hL8xR7FtVQjurq3j33jtLbotO/view?usp=share_link ,Rational,0,0,0,0
16-15,31/03/23 15:48:23,https://twitter.com/ChaucerEcho/status/1211114849834422274,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@ChaucerEcho,EchoChaucer,Anonymous,08/19,17,4,Lumad schools that are run by your NPA cohorts. That's very reason why this should be closed down!,"Text, Reply",29/12/19 10:40,https://drive.google.com/file/d/14nh8Yud2JY6Xn7aoPlSThWOUzwYvlmib/view?usp=share_link ,Rational,8,2,0,2
16-16,03/31/23 16:09:51,https://twitter.com/Fitzgerald_1999/status/1551688511937396736,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@Fitzgerald_1999,Fitzgerald,Anonymous,02/22,55,3,"Lumad school kung saan tinuturuan ung mga batang humawak ng baril, mga putang inang npa.","Text, Reply",26/07/22 05:59,https://drive.google.com/file/d/1o5oJzSUW4ZL3eEuXLORArgQyIlqyJURc/view?usp=sharing,Emotional,0,0,0,0
16-17,31/03/23 16:12:06,https://twitter.com/chaorleane/status/1497522283937923075,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, communist",@chaorleane,Chaorleane🇵🇭,Anonymous,01/22,48,22,"Mind you that Lumad schools do not have permits, in simple terms, illegal. It is a possibility that they are ""teaching"" (brainwashing) the Lumads to side with the terrorists and Chad being related to the Communist Party founder Joma Sison. Hindi ka informed or nagmamagaling lang?","Text, Reply",26/02/22 18:41,https://drive.google.com/file/d/1aJf8NeRAfO5nReIa06WkRFZJC_B8qOrd/view?usp=share_link,"Rational, Emotional",2,0,0,0
16-18,31/03/23 16:29:08,https://twitter.com/KahabaganMD/status/1238180544958980097,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@KahabaganMD,Agueda Kahabagan,Anonymous,11/10,97,677,"They uphold peace and harmony, so yes - we give them our trust and support

You’re forming black propagandist movement that’s why the government decided to close down several lumad schools. Surveillance must’ve verified that those so called bros and sis are part of NPA.","Text, Reply",13/03/20 03:10,https://drive.google.com/file/d/1Gw5vgDaIZ1ADp2V1z1Xa8-briJV4VwX9/view?usp=share_link,Rational,4,0,1,0
16-19,31/03/23 4:56:39 ,https://twitter.com/Matina_Aplaya/status/1552028645627027456,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@Matina_Aplaya,Matina Aplaya,Identified,05/16,170,140,"lumad school?!? they can't even identify the tribe because the tribe leaders don't want them. these are the schools the IP leaders have been complaining about. these are the schools being used by NPA to infest their communuties.

these schools don't teach. they recruit for NPA","Text, Reply",27/07/22 04:30,https://drive.google.com/file/d/1_tyDY9vPZDCmVtzUrd9wv_B-Rej2RdED/view?usp=share_link ,"Rational, Emotional",3,0,0,0
16-20,31/03/23 17:33:30,https://twitter.com/hitman531ph/status/1069186333233504256,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp, npa, ndf",@hitman531ph,The Hitman,Anonymous,04/11,312,5402,The Lumad schools are established and manned by teachers from ACT who besmirch the government and military and praise the CPP NPA NDF and all allied organizations. Such schools are NOT recognized or accredited by the Department of Education,Text,02/12/18 19:07,https://drive.google.com/file/d/1LBNj1ZlJPmAsimBJIkoMo6uAXL26GH_s/view?usp=share_link,Rational,63,3,17,2
16-21,31/03/23 17:47:30,https://twitter.com/ta01912/status/1361239860611149824,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp, indoctrinate, communism",@ta01912,ORIONN_ta01912,Anonymous,07/11,314,76,Because those lumad schools are being used by CPP and rebels to indoctrinate the IP people with communism.,"Text, Reply",15/02/21 17:04,https://drive.google.com/file/d/1QKociRcNYmx8xkH7S9pfMLERViPKryKU/view?usp=share_link,Rational,1,0,0,0
16-22,03/31/23 17:48:06,https://twitter.com/SuginPipit/status/1361253521253797893,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@SuginPipit,PipitSugin,Anonymous,08/18,16,22,"Lumad school ba tlga o NPA school? Bolahin mo mga tanga, hindi kami iho.","Text, Reply",15/02/21 17:58,https://drive.google.com/file/d/1Fa2JqNoh6X0aOzLkJx2CwtlA0DLuAPY-/view?usp=sharing,Emotional,1,0,0,0
16-23,31/03/23 17:57:05,https://twitter.com/YukiAnderson99/status/1551565589881098240,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp, npa, ndf, terrorist",@YukiAnderson99,yukiz,Identified,05/21,1138,387,Maybe the lumad school is manage by CPP-NPA-NDF Dictator Terrorist so thats why needs cleansing and make better tribe schools. Than terrorist one.,"Text, Reply",25/07/22 21:50,https://drive.google.com/file/d/14NJ4aEMOrNU2kvSKKPX8mGnfy4jTuLqB/view?usp=share_link ,Rational,1,0,0,0
16-24,31/03/23 18:03:47,https://twitter.com/YukiAnderson99/status/1551565953141313536,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp, npa, ndf, terrorist",@YukiAnderson99,yukiz,Identified,05/21,1138,387,The term lumad is made up word of the CPP-NPA-NDF Dictator Terrorist. Just like the word red tagging. Make sense now?,"Text, Reply",25/07/22 21:52,https://drive.google.com/file/d/1DvWOnLRTdaGe9AEQdILpZj7WYm5ZDxIU/view?usp=share_link,Rational,2,0,0,0
16-25,31/03/23 18:10:36,https://twitter.com/jonaharce15/status/981110573298475008,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, cpp, npa",@jonaharce15,JonRai,Anonymous,10/11,79,6,Lumad “schools” are funded by the cpp and at times houses npa rebels. what do you expect the govt troops to do?,"Text, Reply",03/04/18 18:06,https://drive.google.com/file/d/1Z3U2Fm6xULwr-FLFJrfjH7jJvU_Fb11F/view?usp=share_link,Rational,0,0,0,0
16-26,01/04/23 22:16:03,https://twitter.com/that_attitude/status/1554346965982658560,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, terrorist",@that_attitude,ThePatriot,Anonymous,01/12,111,137,Those Lumad schools are actually indoctrination camps of the New People's Army. The seven tribes of Bukidnon are the targets of the terrorists for recruitment.,"Text, Reply",02/08/22 14:02,https://drive.google.com/file/d/1qWvvsfNJVCzNzK-nUUODZYuLGo9ZKI9y/view?usp=sharing,Rational,9,0,1,0
16-27,01/04/23 22:34:20,https://twitter.com/kotawinters/status/1070863347317264385,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, rebel",@kotawinters,jane abao,Identified,06/08,1079,12491,"Lumad schools are being used by communist rebels to recruit fighters for the NPA.

Students are taught an alphabet where “A” would stand for “armas (arms),” and “B” for “bala (bullet).”

They are shown how to harass military detachments & police stations.

https://newsinfo.inquirer.net/1060843/lumad-leaders-want-schools-shut","Text, URL, Media",07/12/18 10:11,https://drive.google.com/file/d/15J2iSuHMLg7aarHO69AraWRLGjylfx1A/view?usp=sharing,Rational,41,10,16,2
16-28,01/04/23 22:52:15,https://twitter.com/allain_z/status/1150776705134391298,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, communist",@allain_z,allain cervantes,Identified,09/11,1071,743,"susme, noon pa man hindi man para sa kapakanan ng mga lumad ang mga eskwelahan nato kundi sa kapakanan ng NPA disguise as schools, actually schools for communist and insurgency program ng CPP NPA NDF para maliit pa mga bata marunong na humawak mg armalite, warfare at extortion!","Text, Reply",15/07/19 22:38,https://drive.google.com/file/d/16ZgWCHhYwMx5tx4D8dqig01zKJnP4V-p/view?usp=sharing,Rational,2,0,1,0
16-29,01/04/23 22:58:49,https://twitter.com/ALaurel73/status/1268210159706243072,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, communist",@ALaurel73,AJLaurel73,Identified,05/20,8,8,"Lumad schools in Mindanao are haven and training ground by NPAs using innocent lumads, so we know here in Davao...poor lumads they do not know they are being manipulated by these communist group in our country..","Text, Reply",03/06/20 23:57,https://drive.google.com/file/d/1YAVCt8jmwnXYDIdSB5zMt_tgWX-n_HVJ/view?usp=sharing,Rational,4,0,1,0
16-30,02/04/23 12:45:28,https://twitter.com/ATajum/status/1068854731655847936,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, komunista",@ATajum,DinaVirgincia Natural,Anonymous,08/17,809,973,Tama lang na ipasunog ni PRRD ang eskwelahan ng mga lumad yung mga titser nanggaling sa mga komunista😠,"Text, Reply",01/12/18 21:10,https://drive.google.com/file/d/1zllGyE_MBzfxVecCnUCXqCxwwiE_DY8d/view?usp=sharing,Emotional,2,0,0,0
16-31,02/04/23 01:09:04,https://twitter.com/allain_z/status/962573223513677825,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@allain_z,allain cervantes,Identified,09/11,1071,743,"very unusual for a ""journalist"" to have a lengthy ""news"" but had no time to identify the lumad but instead his/her group only. and yes, the ALCADEV is CPP NPA NDF front in mindanao. trying to posture as NGO or community organizer to protect NPAs interest in the area. brainwashed!","Text, Reply",11/02/18 14:25,https://drive.google.com/file/d/1AgxRGpx7MZ227oJ0oc0YfJ9HeZ0ecnhX/view?usp=sharing,Rational,3,1,0,0
16-32,02/04/23 02:46:33,https://twitter.com/marortoll/status/1309985961061752832,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, recruit",@marortoll,The Buried Lead by Ramon Ortoll,Identified,06/17,721,11102,"rights."" There are also the Alcadev lumad schools which indoctrinate the children of indigenous peoples for integration as NPA regulars. It's about time that the government throws the book at them using the enhanced Human Security Act. The AFP should recruit professionals in the","Text, Reply",27/09/20 06:39,https://drive.google.com/file/d/1fqxoPpgklbQ1aiCQUzec-XP1SLrIqVQ7/view?usp=sharing,Rational,11,1,3,0
16-33,02/04/23 11:16:40,https://twitter.com/jaravejohn/status/1211077262256164864,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@jaravejohn,😂,Anonymous,08/19,22,0,Yung lumad school na yan nag training ground ng mga NPA.,"Text, Reply",29/12/19 08:11,https://drive.google.com/file/d/1kdFTrO_DvSvW18EroM42zmluxKy1idtp/view?usp=sharing,Rational,3,0,0,0
16-34,02/04/23 11:23:12,https://twitter.com/tsiphead/status/1497101209181646848,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, brainwash",@tsiphead,hedzpearl,Anonymous,10/10,76,19,"Marami naman ganyan, ang mali lang is the alcadev. Yung nangbri brainwash ng mga inosente para sa maling pakikipaglaban. Lalu na sa mga lumad. Kung gusto talaga nilang magturo di dapat yung sinisiraan nila ang gov.","Text, Reply",25/02/22 14:48,https://drive.google.com/file/d/1VZPF4qyJllh4Rshi5Ift6hDmYiQscks1/view?usp=sharing,Rational,2,1,0,1
16-35,02/04/23 11:25:36,https://twitter.com/cinecinecine30/status/1220924638219264001,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@cinecinecine30,cinecinecine30,Anonymous,09/15,150,1615,"yes na yes. publisher ng mga seditious books na ginagamit sa mga npa lumad schools.

kaya kung titignan mo report nila. andun yung lumad schools.","Text, Reply",25/01/20 12:21,https://drive.google.com/file/d/1edyIRGcMU4imWG0BfrUm26C_bS1Rv-_9/view?usp=sharing,Rational,3,0,0,0
16-36,02/04/23 11:42:43,https://twitter.com/AlfredoGenom/status/1222122460285296644,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@AlfredoGenom,Genom Alfredo 🇵🇭,Identified,01/20,205,25542,"Woww, inupdate, pinapogi si PRRD. Anyways, what’s new? Hmm...

❎ CLOSURE OF LUMAD SCHOOLS: That have been found to operate without Deped permits and recruiting kids for NPA
❎ FAKE WOD: Ask the 400k guys who got rehab thanks to WOD.

{Alt-text image: List of transgressions that Rodrigo Duterte committed during his administration}","Text, Image",28/01/20 19:41,https://drive.google.com/file/d/18kQUQz62GNoptZsF8uD5r2pm8nWpzfOU/view?usp=sharing,Rational,12,6,3,2
16-37,02/04/23 11:52:50,https://twitter.com/chainedensi/status/1029471952803520512,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@chainedensi,Denise,Anonymous,04/18,20,0,"ALCADEV could disavow Communism and the CPP-NPA-NDF any time they want. But they won't. Because their leaders, members, and associates are all Communists.","Text, Reply",15/08/18 04:56,https://drive.google.com/file/d/1wqYJp2FeH_ACO2tuKNdsJzdmgoFYKAk7/view?usp=sharing,Rational,3,0,2,0
16-38,02/04/23 11:59:31,https://twitter.com/shiningtwicexo/status/1514105150482178048,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@shiningtwicexo,✌👊🚫,Anonymous,04/10,3975,3470,"Madame, di mo alam yung pinagsasabi mo.

Di ka ba naaware na ang ALCADEV is not a legit school but actually a recruitment ground ng komunistang-teroristang CPP-NPA-NDF (mismong DepED na ang nagsabi na wala documents para makapagoperate sila as school)?",Text,13/04/22 12:56,https://drive.google.com/file/d/1zfIDx-hYntR9gGohrSy7YwuRA7THNaEP/view?usp=sharing,Rational,2,1,1,0
16-39,02/04/23 12:04:21,https://twitter.com/BisayangIlokano/status/1553176481513500672,16,REDT,Red-tagging of Lumads/Lumad schools,"alcadev, npa",@BisayangIlokano,Freetz,Anonymous,09/13,1360,1486,"No to ROTC, yes to Alcadev and Salapungan NPA Training Schools

{Alt-text image: No to mandatory ROTC protest vs. NPA recruitment banner}","Text, Image",30/07/22 08:31,https://drive.google.com/file/d/1ayumhVyfR8qpD2uefzd8n20JU_TT5S7K/view?usp=sharing,Rational,184,46,66,13
16-40,02/04/23 12:23:35,https://twitter.com/alanbaylon/status/1276529929975283717,16,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@alanbaylon,JAGBB→_☆♤♧,Anonymous,05/09,4064,2292,"see I knew it 
@alcadevinc
 is a school for NPAs using Lumad frontage. #YesToAntiTerrorBill #JunkTerrorists #YesToABSCBNShutDown #supportantiterrorbill #LGBTQuarantine bobo talaga si #LeniRobredo",Text,26/06/20 22:57,https://drive.google.com/file/d/1hVYU-DmBlWq5MVbHmTpHhYLc9q4PaSCn/view?usp=sharing,Emotional,3,0,3,0
16-41,03/04/23 09:14:57,https://twitter.com/earthwizard1/status/1181395727097815040,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@earthwizard1 ,hihihi,Anonymous,02/19,265,356,"They are framing it as that. But the reality is Duterte wants to destroy the lumad schools run by cpp-npa-ndf. They want to paint Duts as anti indigenous people but actually, he just wants to free the IPs from the claws of the reds.","Tweet, Reply",08/10/19 10:27:00,https://drive.google.com/file/d/1WWO20rsinfhM1wsjXTnd9dwM594_SHGi/view?usp=sharing,Rational,3,0,0,0
16-42,31/03/23 08:24:19,https://twitter.com/phil_einstein/status/1070926102951092225,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@phil_einstein,Phil Einstein,Identified,09/15,301,182,"No. when capitalist took some of there lands, NPA capitalized on the situation to manipulate and recruit LUMAD to be a member of NPA. Now NPA paramilitary units consist of Lumad and other indigenous people.","Text, Reply",07/12/18 14:20:00,https://drive.google.com/file/d/1IHWRCZVLdFjSP16KvfDnPQzjmOCLrQ0J/view?usp=sharing,Rational,0,0,0,0
16-43,31/03/23 08:24:20,https://twitter.com/phil_einstein/status/1070938396418293760,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@phil_einstein,Phil Einstein,Identified,09/15,301,182,"but now they realized that NPA mislead them and that they are just being used for an international appeal to received a grant from donors, using them in rallies, their member paramilitary units to extort money and revolutionary taxes while killing government troops.","Text, Reply",07/12/18 15:09:00,https://drive.google.com/file/d/1cOjF8k4_DXHf9OEzU6qAN_vA6MZPqZzs/view?usp=sharing,Rational,1,0,0,0
16-44,31/03/23 08:24:52,https://twitter.com/VoltStriker/status/1068034286916296704,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@VoltStriker,Snake,Anonymous,10/17,39,1,"""Humanitarian mission"" lol! More like a NPA indoctrination of minors... Teddy and his ilk are using lumad minors to boost the failing NPA... Can't wait for the government hit squads to be operational and wipe out the communist menace.","Text, Reply",29/11/18 14:29:00,https://drive.google.com/file/d/1qsCh5hUQPKyWHIi8ZXtk-EDqSUu1YJq-/view?usp=sharing,Emotional,1,0,0,0
16-45,31/03/23 08:27:13,https://twitter.com/johnyjohn691/status/1070133518951301120,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@johnyjohn691,johny.john69,Anonymous,10/15,375,62,Lumad schools used as NPA breeding ground - http://Hukbo.com https://bit.ly/2Qwh3vY,"Text, URL",05/12/18 09:51:00,https://drive.google.com/file/d/1OAZ2m__UF8MmxtNyQMJwj54k_OXkPrE4/view?usp=sharing,Rational,1,0,0,0
16-46,03/04/23 09:21:30,https://twitter.com/reyna_elena/status/1275196073020186624,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, communist",@reyna_elena,Reyna Elena,Identified,10/09,2238,20543,"Of course, Abu Sayyaf is a threat! Except they're concentrated mostly in the South! Communists, da # 1, have taken over our air-waves, they've been changing our textbooks, and they even opened several schools in the Lumad areas! They are in urban areas and the government! Tse!",Text,23/06/20 06:36:00,https://drive.google.com/file/d/1qWZe5cPOnjW-3DRuZXhwsk3qcXPap0-X/view?usp=sharing,"Rational, Emotional",61,2,17,1
16-47,03/04/23 08:05:15,https://twitter.com/7silentmajority/status/1405179091242819588,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@7silentmajority,The Unforgiving,Anonymous,11/16,133,3478,"DO NOT BELIEVE ANY TWITTER ACCOUNT CRYING FOR LUMADS. THEY ARE CPP-NPA SYMPATHIZERS SPREADING HATRED TOWARDS THE GOVERNMENT IN THE GUISE OF ""PROTECTING LUMADS"". 

BE INTELLIGENT. WAG MAGPALINLANG. SAVE LUMAD SCHOOLS, MY ASS. GO TO HELL, TERRORISTS!! 

#StopTheKillingsPH",Text,16/06/21 23:02:00,https://drive.google.com/file/d/15hz6csnWot1pL78sK4RTGBB7s8_P-lx_/view?usp=sharing,Emotional,28,0,9,0
16-48,31/03/23 14:58:02,https://twitter.com/c0rin_lo/status/1153244408822657024?s=46&t=D2FXMP3SDuYF9GrlXcatvw,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, npa",@c0rin_lo,corinarina,Identified,11/09,35,47,"Nah. I work for IPs, those were not lumad schools. They were schools catering to IP learners except they teach them how to be NPA’s. I have no idea why news isn’t picking up on this but I guess anakbayan. 🤷🏻‍♀️","Text, Reply",22/07/19 18:04:00,https://drive.google.com/file/d/1Ofg6OEWrZPmprC6FNU_ujw7gG4uYm00M/view?usp=sharing,Rational,131,1,16,1
16-49,03/04/23 07:06:20,https://twitter.com/tinub_dan/status/1047452025254961153,,REDT,Red-tagging of Lumads/Lumad schools,"lumad, school, npa",@tinub_dan,Tinub Dan,Anonymous,09/18,99,21,Totoo yan pero mas matindi yung mga schools ng mga lumad sa bundok sa probinsya kung saan bini-brainwash ng mga NPA mag-alsa ang mga tao laban sa gobyernu at nirirecruit nila mga bata sa mismong paaralan pa ng mga lumad. .,"Text, Reply",03/10/18 19:43:00,https://drive.google.com/file/d/1uMKF7ZysIPuB8CjMkupR1RcX_T14sE8B/view?usp=sharing,Rational,1,0,0,0
